City,Region,tif_count,Latitude,Longitude,Road Density
Aldama,AUSTRALIA,0.06,22.97222222,-98.08333333,685.3333327
Aldan,NORTH AMERICA,0.31,58.66666667,125.3333333,345
Aleksandrovsk,ASIA,0.18,50.91666667,142.1111111,397.3333339
Alekseyevka,ASIA,0.32,50.66666667,38.6484375,401.7187499
Aleksin,EUROPE,0.56,54.5610119,37.02529762,101.8035714
Aleppo,EUROPE,2.91,36.2545819,37.12485682,9554.271476
Alexandria1,ASIA,1.34,31.35385572,-92.4869403,5232.477611
Alexandria2,NORTH AMERICA,14.21829432,38.91487614,-77.30529718,7677.722494
Alexandria3,NORTH AMERICA,4.95,31.23602694,29.97491582,4283.757577
Alexandroupoli,AFRICA,0.26,40.91666667,25.84935897,2404.538462
Aleysk,EUROPE,0.37,52.52252252,82.73873874,317.189189
Algeciras,ASIA,0.561156425,36.19653897,-5.495373182,3565.99763
Algha,EUROPE,0.2,49.925,57.275,1269.100001
Algiers,ASIA,18.5,36.70441441,3.053108108,4408.135675
Ali Bayramli,AFRICA,0.27,40,48.88888889,167
Ali Sabih,ASIA,0.08,11.16666667,42.66666667,475
Alicante,AFRICA,1.81,38.43232044,-0.527624309,6248.651932
Alice,EUROPE,0.31,27.79569892,-98.10215054,1196.967741
Alice Springs,NORTH AMERICA,0.3,-23.66666667,133.8333333,309
Aligarh,AUSTRALIA,101.4130124,28.0281658,78.11554667,487.2642289
Alipur Duar,ASIA,68.7915195,26.4313805,89.76766511,387.4039498
Aliwal North,ASIA,0.12,-30.66666667,26.66666667,572
Allahabad,AFRICA,96.55722996,25.37034581,81.66294533,381.4645011
Allanmyo,ASIA,0.19,19.39912281,95.16666667,298.6315789
Allappey,ASIA,24.03914575,9.571727393,76.49122883,519.806198
Allende,ASIA,0.13,28.40384615,-100.9102564,2580.230767
Allentown,NORTH AMERICA,6.36,40.67439727,-75.45073375,7612.798742
Alliance,NORTH AMERICA,0.18,42.16666667,-102.9166667,2152.999999
Almaty,NORTH AMERICA,5.06,43.32114625,76.86149539,8104.920948
Almenara,ASIA,0.12,-16.15277778,-40.75,262.1666667
Almeria,SOUTH AMERICA,0.54,36.91203704,-2.487654321,6325.259271
Almetyevsk,EUROPE,0.8,54.93541667,52.28333333,103.6625
Almirante,EUROPE,0.05,9.333333333,-82.41666667,429
Alor Setar,SOUTH AMERICA,2.85,6.152046784,100.3315789,731.585965
Alotau,ASIA,0.05,-10.25,150.4166667,203
Alpena,MELANESIA,0.41,45.09756098,-83.49593496,4520.902441
Alpine,NORTH AMERICA,0.13,30.41666667,-103.6987179,953.5384615
Al-Qatif,NORTH AMERICA,0.741222364,26.5652076,49.96402339,173.8608946
Alta Gracia,SOUTH AMERICA,0.22,-31.59469697,-64.47727273,417.9090906
Altagracia de Orituco,SOUTH AMERICA,0.17,9.916666667,-66.41666667,370
Altamira,SOUTH AMERICA,0.07,-3.166666667,-52.25,621
Altay,ASIA,0.130009156,47.90384706,88.08333333,428.6920477
Alton,NORTH AMERICA,1.45,38.9362069,-90.16954023,3682.993104
Altoona,NORTH AMERICA,1.12,40.53422619,-78.43973214,4572.303569
Alvorada,SOUTH AMERICA,0.01,-12.41666667,-49.16666667,354
Alwar,ASIA,18.89953245,27.61682884,76.83377908,412.8678993
Alxa Zuoqi,ASIA,0.08,38.875,105.6354167,2089.124992
Am Timan,AFRICA,0.12,11.08333333,20.25,238
Amahai,MELANESIA,0.03,-3.305555555,128.8888889,293.9999996
Amapa,SOUTH AMERICA,0.04,2.083333333,-50.83333333,455
Amarillo,NORTH AMERICA,2.04,35.23488562,-101.8962418,7559.980391
Amasya,ASIA,0.24,40.68402778,35.78125,1084.916668
Ambala,ASIA,27.117969,30.33354765,76.8801662,624.5958643
Ambanja,AFRICA,0.06,-13.625,48.41666667,314
Ambato,SOUTH AMERICA,1.397942212,-1.206728992,-78.64401432,472.6487392
Ambatondrazaka,AFRICA,0.12,-17.77777778,48.38888889,171.8333332
Ambon,MELANESIA,0.36,-3.648148148,128.1574074,1323.555555
Amderma,EUROPE,0,,,0
Americana,SOUTH AMERICA,3.829709453,-22.73639914,-47.36563434,348.8182189
Ames,NORTH AMERICA,0.62,42.0766129,-93.68413978,4091.161288
Amherst,NORTH AMERICA,0.16,45.859375,-64.25,437.6250004
Amiens,EUROPE,1.26,49.92989418,2.262566138,4085.404763
Amman,ASIA,7.48,31.99933155,35.89505348,8703.161764
Ammochostos,ASIA,0.33,35.16666667,33.89141414,2515.424241
Amol,ASIA,1.12,36.515625,52.31324405,401.2857141
Amos,NORTH AMERICA,0.18,48.59722222,-78.16666667,381.8333334
Amravati,ASIA,1.83,20.97040073,77.70582878,557.1038251
Amritsar,ASIA,293.2212817,31.58068152,75.3772806,598.5674374
Amsterdam,EUROPE,5.69,52.39220855,4.825864089,6602.031634
Amursk,ASIA,0.23,50.25,136.8405797,31.04347828
An Najaf,ASIA,1.76,32.05539773,44.34090909,2502.585226
An Nasiriyah,ASIA,0.7,31.09642857,46.20714286,2776.82857
Anaco,SOUTH AMERICA,0.51,9.485294118,-64.5,474.4705882
Anapolis,SOUTH AMERICA,1.31,-16.29389313,-48.98664122,489.9618322
Anatuya,SOUTH AMERICA,0.14,-28.41666667,-62.875,629.5000003
Anbyon,ASIA,0.07,39.08333333,127.5,942.9999998
Anchorage,NORTH AMERICA,4.02,61.21185738,-149.8874378,7401.462686
Ancona,EUROPE,0.9,43.58981481,13.4787037,4111.399996
Ancud,SOUTH AMERICA,0.17,-41.83333333,-73.83823529,900.0588234
Anda,ASIA,1.38,46.47282609,125.2204106,783.1666667
Anderson,NORTH AMERICA,1.25,34.562,-82.70466667,6154.751998
Andijon,ASIA,10.72,40.77347637,72.17467351,362.4393656
Andkhvoy,ASIA,0.6,36.97638889,65.06388889,800.1833327
Andoany,AFRICA,0.1,-13.33333333,48.25,272
Andong,ASIA,0.41,36.59552846,128.6808943,2917.609759
Andorra,EUROPE,0.37,42.57207207,1.495495495,18.7297298
Andradina,SOUTH AMERICA,0.35,-20.8452381,-51.41666667,345.4285713
Androka,AFRICA,0.01,-25,44,214
Angangxi,ASIA,0.27,47.18209877,123.7746914,874.9629635
Angarsk,ASIA,1.81,52.59990792,103.8554328,165.5303868
Angeles,MALAY ARCHIPELAGO,16.07477916,15.09566348,120.6245537,1195.986237
Angers,EUROPE,2.24,47.50186012,-0.591517857,4713.928571
Angoche,AFRICA,0.28,-16.16369048,39.88392857,56.57142867
Angol,SOUTH AMERICA,0.22,-37.75,-72.75,785
Angra do Heroismo,EUROPE,0.06,38.66666667,-27.25,0
Angren,ASIA,1.12,41.05654762,70.04315476,513.2678572
Ankang,ASIA,8.28,32.82568438,108.7491948,618.5338166
Ankara,ASIA,8.1,39.99897119,32.71183128,9625.455555
Anlu,ASIA,12.1291555,31.28006038,113.647087,401.5244257
Ann Arbor,NORTH AMERICA,3.28,42.28912602,-83.72992886,5054.442073
Anna Regina,SOUTH AMERICA,0.06,7.333333333,-58.5,1109.000001
Annaba,AFRICA,1.66,36.88504016,7.699799197,324.5783132
Annapolis,NORTH AMERICA,0.94,39.00886525,-76.56382979,21145.45744
Annecy,EUROPE,1.32,45.96527778,6.061237374,2699.113636
Anqing,ASIA,1.77,30.60310734,116.9995292,4127.163842
Ansan,ASIA,5.259219283,37.42177876,126.8056438,5502.73321
Anshan,ASIA,14.28052935,41.24465834,122.9958796,1103.684159
Anshun,ASIA,8.84,26.27319005,105.7613122,481.800905
Antalaha,AFRICA,0.08,-14.84375,50.25,349.6249999
Antalya,ASIA,2.86,36.94376457,30.67132867,8647.237764
Antananarivo,AFRICA,8.64,-18.83526235,47.43412423,1543.270833
Antigonish,NORTH AMERICA,0.16,45.66666667,-62.02604167,416.3125
Antofagasta,SOUTH AMERICA,0.62,-23.58736559,-70.4233871,191.0645161
Antsirabe,AFRICA,3.54,-19.82627119,47.10334275,219.8785311
Antsiranana,AFRICA,0.25,-12.25666667,49.25,358.12
Antsohihy,AFRICA,0.04,-14.83333333,47.91666667,76
Antwerpen,EUROPE,13.65173988,51.18473034,4.492693404,4494.592462
Anuradhapura,ASIA,1.31,8.361959288,80.37150127,2354.404581
Anxi,ASIA,0.16,40.58333333,95.75,1858
Anyang,ASIA,25.25694958,36.16405891,114.4156728,888.6839567
Anzhero Sudzhensk,ASIA,1.01,56.12128713,85.99257426,239.3861386
Aomori,ASIA,1.47,40.86621315,140.6978458,785.9523811
Apalachicola,NORTH AMERICA,0.06,29.75,-85.02777778,64423.33323
Apatity,EUROPE,0.68,67.61519608,33.36642157,189.147059
Apatzingan,NORTH AMERICA,0.27,19.13888889,-102.4166667,2905.333332
Apia,POLYNESIA,0.47,-13.80496454,-171.8156028,161.2127659
Apodi,SOUTH AMERICA,0.01,-5.583333334,-37.83333333,281.9999996
Apolo,SOUTH AMERICA,0.04,-14.66666667,-68.45833333,221.5000001
Appleton,NORTH AMERICA,3.118951695,44.29490784,-88.44686138,7014.46419
Apsheronsk,EUROPE,0.43,44.5,39.67829457,297.6511629
Apucarana,SOUTH AMERICA,0.55,-23.5,-51.5,1697
Aqadyr,ASIA,0.05,48.33333333,72.83333333,628
Aqsay,ASIA,0.17,51.22058824,52.95588235,1924.17647
Aqtau,ASIA,0.07,43.66666667,51.17857143,5859.71429
Aqtobe,ASIA,0.96,50.33072917,57.14149306,5631.458332
Aquidauana,SOUTH AMERICA,0.42,-20.42063492,-55.83333333,431.9047619
Ar Ramadi,ASIA,0.72,33.48148148,43.25694444,2050.388888
Ar Raqqah,ASIA,0.55,35.9969697,38.97272727,285.0545455
Ar Rutbah,ASIA,0.1,33.08333333,40.25,609
Aracaju,SOUTH AMERICA,2.43,-10.86076818,-37.14300412,3998.432098
Aracati,SOUTH AMERICA,0.06,-4.5,-37.83333333,236
Aracatuba,SOUTH AMERICA,0.79,-21.16350211,-50.48734177,543.8987344
Aracuai,SOUTH AMERICA,0.13,-16.83333333,-42.08333333,681.9999997
Arad,EUROPE,0.86,46.22674419,21.27422481,2626.255814
Araguaina,SOUTH AMERICA,0.17,-7.166666667,-48.25,2075
Araguari,SOUTH AMERICA,0.5,-18.6,-48.24,371.32
Arak,ASIA,0.93,34.12275986,49.65412186,219.2580644
Aral,ASIA,0.23,46.83333333,61.61594203,2505.217392
Aranyaprathet,ASIA,0.11,13.75,102.4621212,1013.999999
Arapiraca,SOUTH AMERICA,0.22,-9.693181818,-36.70833333,241.8181819
Arapongas,SOUTH AMERICA,0.55,-23.36060606,-51.48636364,1413.963636
Arar,ASIA,0.33,31,40.99494949,261.9393938
Ararangua,SOUTH AMERICA,0.4,-28.90625,-49.53333333,290.3749999
Ararat,AUSTRALIA,0.15,-37.25,142.9055556,492.8666658
Arauca,SOUTH AMERICA,0.12,7.097222222,-70.80555556,468.3333333
Araxa,SOUTH AMERICA,0.38,-19.55482456,-47,558.8947369
Arba Minch,AFRICA,0.36,6.083333333,37.53472222,173.8333336
Arcata,NORTH AMERICA,0.3,40.91666667,-124.1194444,1769.033334
Archangel,EUROPE,3.19,64.59665622,40.54388715,199.0752351
Arcoverde,SOUTH AMERICA,0.14,-8.375,-37.08333333,202.0000002
Arctic Bay,NORTH AMERICA,0.01,73.08333333,-85.25,0
Ardabil,ASIA,0.79,38.29852321,48.24367089,328.1392403
Ardmore,NORTH AMERICA,0.39,34.22863248,-97.16880342,2727.692306
Arecibo,SOUTH AMERICA,0.87,18.48563218,-66.8045977,4071.390803
Arequipa,SOUTH AMERICA,1.65,-16.35909091,-71.56818182,786.4848485
Arezzo,EUROPE,0.62,43.50268817,11.82258065,2282.806451
Argentia,NORTH AMERICA,0.05,47.33333333,-54,367
Arica,SOUTH AMERICA,0.41,-18.42682927,-70.33333333,273.5121952
Arjona,SOUTH AMERICA,0.15,10.31111111,-75.41111111,829.7333334
Armavir,EUROPE,0.94,45.04166667,41.07535461,337.5106382
Armenia,SOUTH AMERICA,0.42,4.583333333,-75.72420635,1266.071428
Armidale,AUSTRALIA,0.28,-30.47916667,151.6160714,242.4285714
Arqalyq,ASIA,0.34,50.30637255,66.8627451,1043.67647
Arras,EUROPE,0.91,50.33333333,2.731684982,4829.64835
Arrecife,AFRICA,0.35,29.00952381,-13.60714286,5272.6
Arroyos y Esteros,SOUTH AMERICA,0.02,-25,-57.16666667,658
Arsenyev,ASIA,0.32,44.19010417,133.2447917,103.8437501
Artemisa,NORTH AMERICA,0.23,22.85144928,-82.81884058,1474.217392
Artemovsk,ASIA,0.13,54.41666667,93.41666667,253.9999998
Artemovskiy,ASIA,0.35,57.41190476,61.84285714,241.0857142
Artigas,SOUTH AMERICA,0.1,-30.375,-56.5,1074.5
Arua,AFRICA,7.35,3.173809524,30.83798186,238.1006803
Arusha,AFRICA,0.34,-3.333333333,36.64705882,187.3529412
Arvayheer,ASIA,0.2,46.33333333,102.75,398.9999996
Arviat,NORTH AMERICA,0.01,61.16666667,-94.08333333,0
Arxan,ASIA,0.09,47.22222222,119.9166667,217.9999999
Arys,ASIA,0.32,42.47395833,68.75,1929.499999
Arzamas,EUROPE,0.92,55.44836957,43.7798913,428.6956523
As Salt,ASIA,0.27,32.08333333,35.66666667,3621
As Samawah,ASIA,0.71,31.35798122,45.2370892,2265.535211
As Sulaymaniyah,ASIA,0.68,35.59313725,45.38235294,1338.029412
As Sulayyil,ASIA,0.09,20.5,45.5,135
As Suwayda,ASIA,0.34,32.75,36.5245098,647.2352945
Asahikawa,ASIA,1.87,43.82263815,142.3453654,723.5347592
Asbest,ASIA,0.69,57.05797101,61.42995169,404.4347824
Ascension,NORTH AMERICA,0.1,31.15833333,-108.025,926.1999995
Asela,AFRICA,0.3,8,39.08333333,127
Ash Shatrah,ASIA,0.39,31.45940171,46.12393162,1272.307692
Ash Shihr,ASIA,0.13,14.83333333,49.58333333,284.9999998
Asha,EUROPE,0.53,55.04245283,57.21383648,240.4528302
Ashburton1,POLYNESIA,0.183065006,-43.83333333,171.7303963,1891.730272
Ashburton2,POLYNESIA,0.006934994,-43.83333333,171.6666667,1517
Asheville,NORTH AMERICA,2.91,35.60595647,-82.604811,4076.408935
Ashgabat,ASIA,1.89,37.98500882,58.32275132,1923.650793
Asino,ASIA,0.24,57.02777778,86.08680556,170.6250002
Asmara,AFRICA,1.09,15.3646789,38.89220183,175.2293578
Asosa,AFRICA,0.1,10.08333333,34.5,273
Assab,AFRICA,0.13,13.06410256,42.66666667,276.2307692
Assis,SOUTH AMERICA,0.81,-22.60185185,-50.46193416,270.9999999
Astana,ASIA,1.93,51.20725389,71.39075993,9367.020727
Asti,EUROPE,0.41,44.93292683,8.168699187,1961.219513
Astoria,NORTH AMERICA,0.15,46.25,-123.8777778,4750.133333
Astrakhan,EUROPE,2.37,46.39345992,47.98030942,303.6413502
Asuncion,SOUTH AMERICA,8.4,-25.27638889,-57.5421627,2939.440476
Aswan,AFRICA,0.73,24.12214612,32.84246575,322.2465755
Asyut,AFRICA,8.010000001,27.48793175,30.90699126,224.1423221
At Bashy,ASIA,0.27,41.20679012,75.75617284,478.6296292
At Taif,ASIA,1.05,21.33650794,40.38492063,204.0380951
Atakpame,AFRICA,0.29,7.583333333,1.083333333,362
Atamyrat,ASIA,0.27,37.86111111,65.16666667,759.6666667
Atar,AFRICA,0.11,20.58333333,-13.08333333,539.9999999
Atasu,ASIA,0.25,48.75,71.59333333,1394.799999
Atbara,AFRICA,0.38,17.76096491,33.92763158,419
Atbasar,ASIA,0.36,51.84259259,68.31712963,3535.194443
Athabasca,NORTH AMERICA,0.04,54.75,-113.3333333,351
Athens1,NORTH AMERICA,1.86,33.97983871,-83.43458781,4571.596773
Athens2,EUROPE,7.52,38.06948138,23.68927305,12730.41091
Atherton,AUSTRALIA,0.08,-17.25,145.4166667,337
Ati,AFRICA,0.04,13.25,18.3125,285.0000003
Atikokan,NORTH AMERICA,0.16,48.83333333,-91.66666667,40.00000013
Atkarsk,EUROPE,0.21,51.91666667,44.96031746,312.8571428
Atlanta,NORTH AMERICA,57.33,33.90447119,-84.3893395,6566.352869
Atlantic City,NORTH AMERICA,0.43,39.40891473,-74.50775194,27094.06977
Atlixco,NORTH AMERICA,0.36,18.9537037,-98.48148148,2358.444446
Atoyac,NORTH AMERICA,0.09,17.25,-100.5,2087
Atyrau,ASIA,0.87,47.14559387,51.87260536,9109.517238
Auburn,NORTH AMERICA,1.14,32.6622807,-85.47295322,3334.631578
Auckland,POLYNESIA,5.85,-36.88019943,174.7539886,6152.186324
Augsburg,EUROPE,2.68,48.41262438,10.84577114,5755.597015
Augusta1,NORTH AMERICA,4.51,33.50776053,-82.09478936,5484.093126
Augusta2,NORTH AMERICA,0.41,44.3495935,-69.82926829,2321.365855
Aurangabad1,ASIA,25.14305501,24.78526547,84.35799959,368.4002903
Aurangabad2,ASIA,4.46,19.91573244,75.26195815,415.6793722
Aurora1,NORTH AMERICA,5.402429107,39.70252368,-104.8716727,8370.548898
Aurora2,NORTH AMERICA,21.16853481,41.88320298,-88.23741326,7403.766751
Austin,NORTH AMERICA,10.44,30.40205939,-97.79238506,6546.586207
Autlan,NORTH AMERICA,0.17,19.83333333,-104.4166667,2695.999999
Auxerre,EUROPE,0.52,47.85416667,3.516025641,2554.519232
Avare,SOUTH AMERICA,0.54,-23.0617284,-48.97067901,179.1296297
Aweil,AFRICA,0.08,8.833333333,27.33333333,195
Awka,AFRICA,7.733746498,6.170901211,7.029988156,164.3114338
Ayacucho,SOUTH AMERICA,0.31,-13.12096774,-74.25,627.9032258
Ayakoz,ASIA,0.28,48,80.41071429,2694.785712
Ayapel,SOUTH AMERICA,0.09,8.342592593,-75.16666667,772.777778
Ayaviri,SOUTH AMERICA,0.05,-14.83333333,-70.66666667,728
Aydin,ASIA,1.59,37.90041929,27.76677149,2470.798741
Ayorou,AFRICA,0.03,14.75,0.888888889,190.6666663
Ayounel el Atrous,AFRICA,0.02,16.66666667,-9.666666667,331
Ayr1,EUROPE,0.56,55.50595238,-4.668154762,6044.660714
Ayr2,AUSTRALIA,0.12,-19.5,147.3541667,340.5000003
Ayutthaya,ASIA,0.78,14.40384615,100.5448718,2434.307693
Az Aubayr,ASIA,0.76,30.42105263,47.66337719,1775.960526
Az Zahran,ASIA,1.756969221,26.35643036,50.12984316,215.9608741
Az Zarqa,ASIA,1.385480101,32.11106235,36.0481181,5366.639763
Az Zawiyah,AFRICA,0.58,32.81609195,12.65804598,6843.034479
Azare,AFRICA,0.25,11.73,10.16666667,349.5599998
Azogues,SOUTH AMERICA,0.719799825,-2.697879007,-78.9062471,516.7193396
Azul,SOUTH AMERICA,0.4,-36.74791667,-59.91666667,1294.975
Babahoyo,SOUTH AMERICA,0.3,-1.75,-79.55833333,677.4000002
Babanusa,AFRICA,0.14,11.35714286,27.75,12.85714287
Babati,AFRICA,0.05,-4.166666667,35.68333333,129.6000001
Babruysk,EUROPE,1.21,53.18595041,29.16253444,6519.661157
Bac Giang,ASIA,18.40673624,21.23385158,106.1530324,1121.113963
Bac Lieu,ASIA,12.56133746,9.469940758,105.7202289,1243.337161
Bacabal,SOUTH AMERICA,0.13,-4.166666667,-44.83333333,226
Bacau,EUROPE,1.03,46.60194175,26.85760518,1374.601942
Bacolod,MALAY ARCHIPELAGO,3.892883076,10.73984827,122.9503367,1377.012555
Badajoz,EUROPE,0.69,38.89492754,-7.004830918,3302.086954
