City,Region,tif_count,Latitude,Longitude,Crop Land,Grazing Land,Area
Ajdabiya,AFRICA,0.220000176,30.81443343,20.16665942,0.025053769,0.482274727,22.03163603
Ajmer,ASIA,2.070001656,26.50201129,74.62237983,0.415218402,0.013034362,198.9835798
Aketi,AFRICA,0.170000136,2.759854112,23.7499185,0.247287375,0.179014825,14.64616889
Akhtubinsk,EUROPE,0.320000256,48.32291318,46.12773988,0.056770109,0.179772191,41.37759829
Akita,ASIA,1.510001208,39.7715297,140.0524529,0.080597703,0.00628495,168.9643636
Akola,ASIA,2.15000172,20.74417882,76.94960525,0.551028575,0.008403589,197.7896589
Akron,NORTH AMERICA,8.487092112,41.14379923,-81.53553312,0.13394617,0.079454402,969.2496181
Aksu,ASIA,0.80000064,41.21043632,80.224987,0.2129091,0.1761981,91.45659515
Aksum,AFRICA,0.270000216,14.15123917,38.70371344,0.526752398,0.225316018,23.95745916
Akureyi,NORTH AMERICA,0.290000232,65.74423352,-18.16087261,0.002163732,0.038515239,60.60601685
Al Ahmadi,ASIA,0.180000144,29.14357671,48.0093708,0.001254438,0.033127026,17.7261801
Al Amarah,ASIA,0.810000648,31.89095189,47.10802359,0.129404566,0.033601596,82.05762153
Al Ayn,ASIA,1.940001552,24.23321821,55.6868343,6.64E-07,4.97E-07,183.0217219
Al Bayda,AFRICA,0.010000008,32.8332842,21.5832527,0.328406359,0.231632848,1.023255542
Al Fallujah,ASIA,0.330000264,33.40154054,43.7499105,0.154900289,0.059954383,33.99675951
Al Fujayrah,ASIA,0.370000296,25.14185828,56.31534854,0.008163085,0.029142378,35.16102253
Al Hasakah,ASIA,0.480000384,36.54863428,40.70660092,0.439247845,0.062458495,51.38837541
Al Hillah,ASIA,1.510001208,32.52813237,44.366481,0.244542446,0.085744355,154.041958
Al Hudaydah,ASIA,1.040000832,14.84052712,42.9486974,0.028682607,0.376221069,92.56813739
Al Hufuf,ASIA,1.210000968,25.43732742,49.53791599,0.092002426,0.203596848,115.2629799
Al Jaghbub,AFRICA,0.010000008,29.7504311,24.4999182,0,0.726528222,0.991157548
Al Jahra,ASIA,0.530000424,29.37109348,47.64153865,0.024043995,0.050449893,52.31436604
Al Jawf,AFRICA,0.190000152,24.2499543,23.2499187,0,0,17.92811256
Al Jubayl,ASIA,0.469779277,27.03011981,49.59928456,0.011334546,0.388478867,45.39008549
Al Karak,ASIA,0.880000704,31.18374625,35.67614816,0.168680007,0.504863054,88.48286319
Al Khalil,ASIA,1.45000116,31.57010655,35.07239304,0,0.046991,146.3851893
Al Kharj,ASIA,0.660000528,24.18560882,47.28283381,0.073001967,0.124241072,62.24411655
Al Khums,AFRICA,0.14994124,32.6666176,14.23891047,0.191455293,0.032831556,15.33030866
Al Kut,ASIA,0.440000352,32.56060158,45.77278068,0.311124502,0.061320776,44.90218805
Al Ladhiqiyah,ASIA,1.850535616,35.60627657,35.78333269,0.24959573,0.020511571,203.1015311
Al Marj,AFRICA,0.210000168,32.51591734,20.78975524,0.593810676,0,21.42482878
Al Mubarraz,ASIA,0.624641439,25.4713777,49.52734165,0.138898986,0.251620282,59.51946173
Al Mukalla,ASIA,0.320000256,14.58594796,49.08329899,0.000401989,0.283483585,28.45011165
Al Musayyib,ASIA,0.440000352,32.8332842,44.24993069,0.302745817,0.215905649,45.03733216
Al Qamishli,ASIA,0.308742087,37.0832825,41.19491931,0.430566253,0.000417118,33.28660713
Al Qunaytirah,ASIA,0.090000072,33.1666174,35.75936481,0.535921254,0.059303253,9.247561164
Al Quwayiyah,ASIA,0.170000136,24.09317215,45.24506094,0.000844959,0.831086999,16.02230046
Al Wajh,ASIA,0.10000008,26.28337982,36.4165801,0,0.399591685,9.594747318
Al-Qatif,ASIA,0.741222957,26.56520501,49.96405553,0.198879197,0.006722261,71.28906351
Alagoinhas,SOUTH AMERICA,0.220000176,-12.0833645,-38.48477638,0.300515162,0.13419012,19.36477365
Alajuela,SOUTH AMERICA,1.764002442,10.03113191,-84.25933444,0.124917281,0.206953437,154.1390872
Alamogordo,NORTH AMERICA,0.35000028,32.9428782,-106.0000127,0.01659724,0.36779377,35.87545455
Alapayevsk,ASIA,0.530000424,57.90410699,61.65404611,0.032963854,0.044571418,85.71139399
Alatyr,EUROPE,0.330000264,54.89403944,46.54042328,0.131647841,0.053358692,49.31557856
Alayat Samail,ASIA,0.10000008,23.333288,57.9166667,0.003412195,0.228682213,9.369650806
Albacete,EUROPE,0.560000448,39.02978401,-1.916674275,0.396320852,0.039465274,62.00517882
Albany1,NORTH AMERICA,1.780001424,31.62875405,-84.2125356,0.072468873,0.003116715,179.8243915
Albany2,NORTH AMERICA,4.521558999,42.75005139,-73.79704643,0.027904258,0.013375677,529.5230073
Albany3,NORTH AMERICA,0.730000584,44.667806,-123.1312857,0.20702057,0.121219723,88.27382946
Albany4,AUSTRALIA,0.260000208,-34.98074893,117.83326,0.084816941,0.220693224,27.31742878
Albert Lea,NORTH AMERICA,0.35000028,43.68335624,-93.4166914,0.271356148,0.086055641,41.62735302
Albuquerque,NORTH AMERICA,7.440005952,35.17809515,-106.6715971,0.024183102,0.163530216,782.9211109
Albury,AUSTRALIA,0.490000392,-36.01701079,146.8929132,0.059633948,0.22273848,52.16474621
Aldama,NORTH AMERICA,0.060000048,22.97232759,-98.0833661,0.49947484,0.243221676,5.605971372
Aldan,ASIA,0.310000248,58.6666072,125.3332506,0,0,51.22412644
Aleksandrovsk,ASIA,0.180000144,50.91667293,142.1112686,0.00109796,0.042455776,24.55930443
Alekseyevka,EUROPE,0.320000256,50.6666104,38.64843204,0.212849719,0.017935269,43.41320684
Aleksin,EUROPE,0.560000448,54.56107794,37.02528834,0.110471987,0.039175701,83.00527527
Aleppo,ASIA,2.910002328,36.25457997,37.12485951,0.190541594,0.049656977,310.3636704
Alexandria1,NORTH AMERICA,1.340001072,31.35385789,-92.48694133,0.152961129,0.054072534,134.9721739
Alexandria2,NORTH AMERICA,14.2183057,38.91487614,-77.30529792,0.037078018,0.012768672,1571.634402
Alexandria3,AFRICA,4.95000396,31.23601957,29.97491839,0.264200965,0,497.965768
Alexandroupoli,EUROPE,0.260000208,40.9166143,25.84930831,0.238903765,0.092933295,29.58128831
Aleysk,ASIA,0.370000296,52.52257335,82.73871886,0.218153272,0.031392499,52.29150601
Algeciras,EUROPE,0.561156874,36.19652447,-5.49540565,0.161595471,0.117400037,59.80539248
Algha,ASIA,0.20000016,49.92511193,57.27514242,0.007804306,0.358592337,26.72303184
Algiers,AFRICA,18.47979846,36.70436541,3.05353116,0.244693885,0.003217086,1984.71182
Ali Bayramli,ASIA,0.270000216,39.999948,48.88893299,0.064136851,0.141010003,30.30690906
Ali Sabih,AFRICA,0.080000064,11.16672737,42.6665776,0,0.741374864,7.016960149
Alicante,EUROPE,1.810001448,38.43232299,-0.527624688,0.342244485,0,198.7207432
Alice,NORTH AMERICA,0.310000248,27.79574297,-98.10215159,0.208750043,0.446093789,30.14502856
Alice Springs,AUSTRALIA,0.30000024,-23.66667551,133.8332078,0,0.667352209,28.19422633
Aligarh,ASIA,101.4130936,28.0281662,78.11554729,0.60265802,0.018489885,9883.066291
Alipur Duar,ASIA,68.79157453,26.43137952,89.76766392,0.585482247,0.01405418,6608.646321
Aliwal North,AFRICA,0.120000096,-30.6666904,26.666584,0.103189847,0.463110811,12.00949773
Allahabad,ASIA,96.5573072,25.3703478,81.66294607,0.609746361,0.021240509,9193.640303
Allanmyo,ASIA,0.190000152,19.39912508,95.1665566,0.426099383,0.012303835,17.32980423
Allappey,ASIA,24.12916505,9.571355686,76.49036397,0.169383382,0.008750878,2105.514126
Allende,NORTH AMERICA,0.130000104,28.40387161,-100.9102393,0.238659019,0.387785021,12.71090912
Allentown,NORTH AMERICA,6.360005088,40.67440498,-75.45072228,0.143418876,0.03147518,721.1793631
Alliance,NORTH AMERICA,0.180000144,42.1666138,-102.9166975,0.30358906,0.127312468,20.87780728
Almaty,ASIA,5.060004048,43.32113927,76.86149419,0.083983817,0.031741111,598.1030237
Almenara,SOUTH AMERICA,0.120000096,-16.15270887,-40.7500557,0.105077305,0.352275288,10.75239365
Almeria,EUROPE,0.540000432,36.91201446,-2.487659554,0.1245657,0,58.07744424
Almetyevsk,EUROPE,0.80000064,54.93545289,52.28332174,0.131094101,0.051507613,119.7382926
Almirante,SOUTH AMERICA,0.05000004,9.3332936,-82.4167057,0.002112488,0.047399283,4.360087857
Alor Setar,ASIA,2.85000228,6.152044747,100.3315967,0.501021273,0.007746236,246.6596018
Alotau,MELANESIA,0.05000004,-10.2500319,150.4165345,0.026550316,0,4.373390068
Alpena,NORTH AMERICA,0.410000328,45.09759919,-83.49596414,0.02310557,0.005848815,49.95469071
Alpine,NORTH AMERICA,0.130000104,30.4166185,-103.698678,0.012758941,0.387173282,12.96528658
Alta Gracia,SOUTH AMERICA,0.220000176,-31.59468851,-64.47723488,0.34632558,0.092036728,22.24140287
Altagracia de Orituco,SOUTH AMERICA,0.170000136,9.9166267,-66.4167121,0.047259514,0.448555363,14.84889948
Altamira,SOUTH AMERICA,0.070000056,-3.1667014,-52.2500511,0.158146705,0.046670186,6.033299919
Altay,ASIA,0.13000926,47.9038343,88.0832261,0.044853049,0.287868375,16.67194583
Alton,NORTH AMERICA,1.45000116,38.93622644,-90.1695365,0.233778979,0.078461668,160.3333373
Altoona,NORTH AMERICA,1.120000896,40.53420194,-78.43973649,0.117028038,0.035569608,126.7204755
Alvorada,SOUTH AMERICA,0.010000008,-12.4166977,-49.166719,0.085973049,0.644880049,0.881380502
Alwar,ASIA,18.89954757,27.61683043,76.83378122,0.61089101,0.015203945,1834.86668
Alxa Zuoqi,ASIA,0.080000064,38.8751417,105.6355881,0.003637696,0.503465159,8.837735527
Am Timan,AFRICA,0.120000096,11.0832929,20.2499199,0.406017977,0.456528159,10.52103987
Amahai,MELANESIA,0.020296576,-3.332415061,128.9165431,0.042835418,0.008351318,3.448071176
Amapa,SOUTH AMERICA,0.040000032,2.0832965,-50.833385,0.117492713,0.091763299,3.444434769
Amarillo,NORTH AMERICA,2.040001632,35.2348748,-101.8962424,0.089105462,0.340394576,214.8184936
Amasya,ASIA,0.240000192,40.68408439,35.78137952,0.157978076,0.076690799,27.22478929
Ambala,ASIA,27.11799069,30.33354858,76.88016084,0.570904119,0.011358514,2702.664974
Ambanja,AFRICA,0.060000048,-13.62497966,48.4165753,0.290874696,0.377149215,5.313796503
Ambato,SOUTH AMERICA,1.39794333,-1.206741657,-78.64399135,0.198302146,0.252885405,120.3298056
Ambatondrazaka,AFRICA,0.120000096,-17.7777345,48.38902595,0.042051536,0.68435498,10.84753792
Ambon,MELANESIA,0.360000288,-3.648134726,128.1573526,0.269922664,0.02383222,31.04421684
Amderma,EUROPE,0,,,0,0,2.487790738
Americana,SOUTH AMERICA,3.829712517,-22.73640073,-47.36564107,0.274317295,0.190150753,357.4460303
Ames,NORTH AMERICA,0.620000496,42.07659414,-93.68415203,0.293455533,0.037378141,71.82464717
Amherst,NORTH AMERICA,0.160000128,45.85945649,-64.2500463,0.199381196,0.000747619,19.75929431
Amiens,EUROPE,1.260001008,49.92989595,2.262556891,0.237227311,0.017521948,168.302181
Amman,ASIA,7.480005984,31.99933102,35.89506411,0.144006421,0.149784086,758.6859885
Ammochostos,ASIA,0.330000264,35.16664694,33.89140637,0.067908813,0.000474466,34.72122595
Amol,ASIA,1.120000896,36.51561505,52.313259,0.30778379,0.033367993,119.859282
Amos,NORTH AMERICA,0.180000144,48.59735156,-78.1667074,0.140120831,0.002774724,23.41203962
Amravati,ASIA,1.830001464,20.97041211,77.70582148,0.508336094,0.001274874,168.6056519
Amritsar,ASIA,293.2215163,31.58068052,75.37728033,0.575080653,0.008654514,29610.99073
Amsterdam,EUROPE,5.690004552,52.39220664,4.825859039,0.113824468,0.027190606,801.6538598
Amursk,ASIA,0.230000184,50.25009025,136.8406734,0.005937914,0.096637551,30.94224872
An Najaf,ASIA,1.760001408,32.05538495,44.34092644,0.150174184,0.072466517,178.6227737
An Nasiriyah,ASIA,0.70000056,31.09640781,46.20720752,0.209646545,0.000671554,70.3156234
Anaco,SOUTH AMERICA,0.510000408,9.485301108,-64.50002807,0.045661328,0.294762039,44.49017321
Anapolis,SOUTH AMERICA,1.310001048,-16.29389562,-48.98666561,0.110082807,0.322160291,117.4746601
Anatuya,SOUTH AMERICA,0.140000112,-28.4166913,-62.87491295,0.050876911,0.155620758,13.70363221
Anbyon,ASIA,0.070000056,39.0832817,127.499877,0.299244817,0,7.756211568
Anchorage,NORTH AMERICA,4.020003216,61.21183751,-149.8874375,9.28E-05,0,717.3914987
Ancona,EUROPE,0.90000072,43.58982073,13.47873811,0.199854897,0.011360385,106.8539691
Ancud,SOUTH AMERICA,0.170000136,-41.8333526,-73.83825278,0.017202705,0.07355319,19.64894118
Anda,ASIA,1.380001104,46.4728229,125.2204213,0.103284664,0.171638684,172.2950145
Anderson,NORTH AMERICA,1.250001,34.56198603,-82.70466821,0.169654816,0.066466782,130.5560223
Andijon,ASIA,10.72000858,40.77348699,72.17467616,0.249752267,0.021315864,1217.435848
Andkhvoy,ASIA,0.60000048,36.97638886,65.0638889,0.18011165,0.022027925,64.59315345
Andoany,AFRICA,0.10000008,-13.333364,48.2499087,0.195961051,0.320496921,8.846258373
Andong,ASIA,0.410000328,36.59555191,128.6809516,0.142345023,0.002712236,43.92965123
Andorra,EUROPE,0.370000296,42.57206202,1.495481771,0.006858544,0.080466534,43.19930761
Andradina,SOUTH AMERICA,0.35000028,-20.84524207,-51.4167181,0.428891683,0.291962842,32.24120133
Androka,AFRICA,0.010000008,-25.000026,44.00080673,0.001225341,0.106685179,0.949745795
Angangxi,ASIA,0.270000216,47.18216582,123.7746599,0.189060345,0.162909854,34.16938037
Angarsk,ASIA,1.810001448,52.59989498,103.8554447,0.006256701,0.005191009,256.1764527
Angeles,MALAY ARCHIPELAGO,16.07479202,15.09566287,120.6245365,0.566633838,0.012314071,1432.496541
Angers,EUROPE,2.240001792,47.50184195,-0.591525524,0.157831057,0.042188196,285.120946
Angoche,AFRICA,0.280000224,-16.16370946,39.88396628,0.119616707,0.422774623,25.0922618
Angol,SOUTH AMERICA,0.220000176,-37.7500209,-72.75000387,0.03853129,0.074982757,23.9619144
Angra do Heroismo,EUROPE,0,,,0,0,6.612172337
Angren,ASIA,1.120000896,41.05655134,70.0431798,0.024121753,0.327469112,127.7355689
Ankang,ASIA,8.280006624,32.82568804,108.7491868,0.262723976,0.166364582,847.5495169
Ankara,ASIA,8.10000648,39.99897118,32.71183339,0.071622594,0.034970407,909.3766988
Anlu,ASIA,12.1291652,31.28006406,113.6471,0.420384343,0.197582415,1220.763615
Ann Arbor,NORTH AMERICA,3.280002624,42.28912793,-83.72992978,0.166530368,0.057526679,381.3086192
Anna Regina,SOUTH AMERICA,0,,,0,0,5.205152242
Annaba,AFRICA,1.660001328,36.88503832,7.699832697,0.150143282,0.001083108,178.5108839
Annapolis,NORTH AMERICA,0.940000752,39.00886854,-76.56381833,0.030425224,0.013588213,104.0510453
Annecy,EUROPE,1.320001056,45.96527693,6.061270113,0.045291472,0.026479999,163.292671
Anqing,ASIA,1.770001416,30.60308635,116.9995312,0.169367048,0.057853196,176.8827015
Ansan,ASIA,5.25922349,37.42178423,126.8056292,0.09877266,0.000652677,569.5830674
Anshan,ASIA,14.28054078,41.24465508,122.9958807,0.207685161,0.069522567,1633.394358
Anshun,ASIA,8.840007072,26.27318561,105.7613001,0.299007506,0.098074335,848.0623546
Antalaha,AFRICA,0.080000064,-14.84374252,50.2499079,0.117108538,0.275257269,7.124135308
Antalya,ASIA,2.860002288,36.94375994,30.67131808,0.128733387,0.030971783,307.7726257
Antananarivo,AFRICA,8.640006912,-18.83526283,47.43413225,0.072697927,0.565051777,785.7797551
Antigonish,NORTH AMERICA,0.160000128,45.6666124,-62.02600036,0.091545678,0.001967488,19.68593217
Antofagasta,SOUTH AMERICA,0.620000496,-23.58736218,-70.42340972,0,0.087213554,58.2364999
Antsirabe,AFRICA,3.540002832,-19.82627786,47.10333918,0.018889813,0.677443153,323.9239076
Antsiranana,AFRICA,0.2500002,-12.25668534,49.2499083,0.102394814,0.353715687,22.01936905
Antsohihy,AFRICA,0.040000032,-14.8333634,47.9168035,0.050351567,0.475348993,3.561654319
Antwerpen,EUROPE,13.6517508,51.18473588,4.492699135,0.073353197,0.018181499,1872.559273
Anuradhapura,ASIA,1.310001048,8.361961961,80.3715323,0.49515743,0.093268174,113.9322131
Anxi,ASIA,0.160000128,40.5832811,95.7498897,0.078001046,0.368311952,18.1132375
Anyang,ASIA,25.25696979,36.16406192,114.4156743,0.363174081,0.064028118,2690.761992
Anzhero Sudzhensk,ASIA,1.010000808,56.12129811,85.99257322,0.041696463,0.033272888,155.7773586
Aomori,ASIA,1.470001176,40.86623913,140.6978484,0.0846077,0.006183538,167.1861489
Apalachicola,NORTH AMERICA,0.060000048,29.7499521,-85.0276891,0.001355124,0.001238382,5.945710278
Apatity,EUROPE,0.680000544,67.61524427,33.36643665,0,0,153.4290869
Apatzingan,NORTH AMERICA,0.270000216,19.13890988,-102.4166517,0.181255241,0.296341615,24.5872452
Apia,POLYNESIA,0.459959834,-13.80612861,-171.817036,0.160817028,0.007938602,41.65518775
Apodi,SOUTH AMERICA,0.010000008,-5.5833671,-37.8333902,0.097543497,0.244278904,0.864777373
Apolo,SOUTH AMERICA,0.040000032,-14.6666968,-68.45815478,0.076204726,0.577148785,3.558986789
Appleton,NORTH AMERICA,3.11895419,44.29490524,-88.4468658,0.129775861,0.02419447,374.708361
Apsheronsk,EUROPE,0.430000344,44.4999462,39.67830891,0.088705593,0.006866155,51.84278306
Apucarana,SOUTH AMERICA,0.55000044,-23.50002176,-51.50000464,0.308117739,0.117575881,51.62969923
Aqadyr,ASIA,0.05000004,48.333278,72.8332322,0,0.386081566,6.463792176
Aqsay,ASIA,0.170000136,51.22073104,52.95595364,0.06126705,0.298056372,23.3322377
Aqtau,ASIA,0.070000056,43.6666132,51.17874324,8.90E-05,0,8.322698671
Aqtobe,ASIA,0.960000768,50.33071396,57.14150692,0.009379406,0.084005449,129.3062706
Aquidauana,SOUTH AMERICA,0.420000336,-20.42064951,-55.83335933,0.359423316,0.412824633,38.57976578
Ar Ramadi,ASIA,0.720000576,33.48151437,43.25694198,0.139979265,0.063317831,74.24202499
Ar Raqqah,ASIA,0.55000044,35.99693761,38.97275117,0.371793515,0.01324171,58.46850459
Ar Rutbah,ASIA,0.10000008,33.0832841,40.2499119,0.001853544,0,10.26533803
Aracaju,SOUTH AMERICA,2.430001944,-10.8607751,-37.1429954,0.127508134,0.237397325,212.9597327
Aracati,SOUTH AMERICA,0.060000048,-4.5000342,-37.8333902,0.03890364,0.159990243,5.179759325
Aracatuba,SOUTH AMERICA,0.790000632,-21.1635157,-50.48734765,0.379994991,0.053568382,72.92202883
Aracuai,SOUTH AMERICA,0.130000104,-16.8333626,-42.0833885,0.219810304,0.361707187,11.6894741
Arad,EUROPE,0.860000688,46.22673403,21.27422858,0.228426566,0.047803086,106.8864211
Araguaina,SOUTH AMERICA,0.170000136,-7.16666082,-48.2500527,0.043995526,0.378409234,14.74534758
Araguari,SOUTH AMERICA,0.5000004,-18.59998861,-48.23998942,0.351337916,0.263023665,45.41219305
Arak,ASIA,0.930000744,34.12280094,49.65408928,0.122250703,0.284332881,96.63317591
Aral,ASIA,0.230000184,46.8332786,61.6160135,0,0.41041606,28.91443305
Aranyaprathet,ASIA,0.110000088,13.7499585,102.4623164,0.590519653,0.014548576,9.742947607
Arapiraca,SOUTH AMERICA,0.220000176,-9.693155577,-36.70826035,0.26597122,0.346463276,19.2092951
Arapongas,SOUTH AMERICA,0.55000044,-23.36059882,-51.48633088,0.452806197,0.266600294,51.57499558
Arar,ASIA,0.330000264,31.00001027,40.99491467,0,0,33.12276242
Ararangua,SOUTH AMERICA,0.40000032,-28.90625,-49.53329417,0.250966446,0.271147917,39.33336005
Ararat,AUSTRALIA,0.15000012,-37.2500211,142.9055986,0.334791507,0.183456716,16.22385656
Arauca,SOUTH AMERICA,0.120000096,7.097312828,-70.80548998,0.057383233,0.668740432,10.40593966
Araxa,SOUTH AMERICA,0.380000304,-19.55480827,-46.99995514,0.28367323,0.318167768,34.71077175
Arba Minch,AFRICA,0.360000288,6.083316252,37.53478026,0.167902508,0.313996135,31.15346991
Arcata,NORTH AMERICA,0.30000024,40.91663176,-124.1194221,0.040949648,0.158427462,34.14426557
Archangel,EUROPE,3.190002552,64.59665639,40.54387914,0,0,638.8574025
Arcoverde,SOUTH AMERICA,0.140000112,-8.374916103,-37.0833905,0.104052118,0.235235628,12.17899487
Arctic Bay,NORTH AMERICA,0.010000008,73.0832681,-85.24965857,0,0,2.949683455
Ardabil,ASIA,0.790000632,38.29851734,48.24364894,0.226135062,0.066094761,86.57667603
